country,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_life_choices,generosity,perceptions_corruption,continent
Kyrgyzstan,5.542,0.513,1.341,0.681,0.615,0.301,0.03,Asia
Belarus,5.54,1.019,1.387,0.753,0.291,0.09,0.194,Europe
North Cyprus,5.536,1.213,1.183,1.026,0.478,0.199,0.2,
Greece,5.515,1.128,1.169,0.979,0.174,0.0,0.049,Europe
Hong Kong,5.51,1.377,1.244,1.137,0.459,0.288,0.332,
Croatia,5.505,1.109,1.311,0.901,0.381,0.114,0.012,Europe
Libya,5.489,1.022,1.196,0.616,0.451,0.143,0.172,Africa
Mongolia,5.456,0.905,1.459,0.616,0.356,0.264,0.047,Asia
Malaysia,5.384,1.168,1.174,0.789,0.597,0.275,0.062,Asia
Vietnam,5.353,0.718,1.253,0.819,0.651,0.136,0.09,Asia
Indonesia,5.286,0.892,1.155,0.61,0.568,0.543,0.038,
Ivory Coast,5.233,0.537,0.8,0.155,0.397,0.17,0.093,
Benin,5.216,0.366,0.352,0.328,0.406,0.197,0.126,Africa
Maldives,5.198,0.938,1.402,0.914,0.548,0.224,0.072,Asia
Congo (Brazzaville),5.194,0.634,0.758,0.458,0.387,0.117,0.119,
Azerbaijan,5.165,0.99,1.181,0.731,0.468,0.04,0.247,
North Macedonia,5.16,0.935,1.183,0.803,0.41,0.186,0.025,Europe
Ghana,5.148,0.576,0.966,0.432,0.477,0.261,0.057,Africa
Nepal,5.137,0.444,1.101,0.669,0.481,0.301,0.128,Asia
Turkey,5.132,1.127,1.197,0.781,0.254,0.086,0.121,
China,5.124,0.991,1.132,0.867,0.602,0.079,0.117,
Turkmenistan,5.119,1.009,1.51,0.612,0.515,0.323,0.034,Asia
Bulgaria,5.102,1.047,1.461,0.778,0.418,0.104,0.0,Europe
Morocco,5.095,0.759,0.645,0.745,0.45,0.04,0.077,Africa
Cameroon,5.085,0.504,0.9,0.27,0.439,0.198,0.054,Africa
Venezuela,5.053,0.77,1.349,0.767,0.272,0.087,0.064,South America
Algeria,5.005,0.944,1.143,0.745,0.084,0.119,0.129,Africa
Senegal,4.981,0.504,0.955,0.518,0.352,0.164,0.082,Africa
Guinea,4.949,0.39,0.751,0.334,0.372,0.249,0.112,
Niger,4.91,0.108,0.704,0.299,0.435,0.208,0.138,Africa
Laos,4.889,0.715,0.987,0.486,0.612,0.273,0.194,Asia
Albania,4.883,0.907,0.83,0.846,0.462,0.171,0.025,
Cambodia,4.848,0.545,1.071,0.588,0.675,0.233,0.073,Asia
Bangladesh,4.833,0.556,0.869,0.695,0.604,0.177,0.177,Asia
Gabon,4.829,0.988,1.106,0.523,0.369,0.052,0.056,Africa
South Africa,4.814,0.902,1.259,0.407,0.435,0.126,0.06,Africa
Iraq,4.785,0.982,1.011,0.529,0.284,0.153,0.073,Asia
Lebanon,4.772,0.889,1.192,0.789,0.186,0.159,0.022,Asia
Burkina Faso,4.769,0.302,0.929,0.313,0.322,0.186,0.126,Africa
Gambia,4.751,0.257,0.883,0.353,0.403,0.426,0.158,Africa
Mali,4.729,0.352,0.973,0.235,0.378,0.17,0.062,Africa
Nigeria,4.724,0.646,0.987,0.168,0.435,0.221,0.048,Africa
Armenia,4.677,0.808,1.035,0.776,0.378,0.107,0.105,Asia
Georgia,4.673,0.847,0.731,0.695,0.485,0.048,0.174,Europe
Iran,4.672,1.029,0.886,0.749,0.301,0.277,0.143,Asia
Jordan,4.633,0.785,1.14,0.778,0.425,0.091,0.152,Asia
Mozambique,4.624,0.179,0.955,0.324,0.561,0.22,0.163,Africa
Kenya,4.583,0.476,0.905,0.536,0.519,0.394,0.067,Africa
Namibia,4.571,0.84,1.246,0.407,0.445,0.076,0.054,Africa
Ukraine,4.561,0.78,1.321,0.699,0.319,0.179,0.01,
Liberia,4.558,0.174,0.921,0.392,0.406,0.227,0.051,Africa
Palestine,4.553,0.588,1.195,0.614,0.299,0.092,0.072,Asia
Uganda,4.432,0.312,1.052,0.378,0.402,0.265,0.064,Africa
Chad,4.423,0.302,0.739,0.109,0.229,0.211,0.086,Africa
Tunisia,4.392,0.875,0.872,0.781,0.236,0.056,0.044,Africa
Mauritania,4.375,0.54,1.113,0.425,0.186,0.129,0.122,Africa
Sri Lanka,4.327,0.898,1.195,0.792,0.529,0.253,0.049,Asia
Congo (Kinshasa),4.311,0.062,0.833,0.277,0.365,0.254,0.081,
Eswatini,4.308,0.828,1.065,0.216,0.3,0.067,0.147,Africa
Myanmar,4.308,0.678,1.098,0.495,0.597,0.57,0.188,Asia
Comoros,4.289,0.416,0.723,0.437,0.181,0.259,0.1,Africa
Togo,4.187,0.268,0.548,0.343,0.304,0.201,0.115,Africa
Ethiopia,4.186,0.315,1.001,0.484,0.413,0.228,0.117,Africa
Madagascar,4.166,0.245,0.824,0.501,0.193,0.191,0.076,Africa
Egypt,4.151,0.875,0.983,0.597,0.374,0.069,0.095,Africa
Sierra Leone,3.926,0.241,0.748,0.204,0.382,0.258,0.048,Africa
Burundi,3.775,0.0,0.404,0.295,0.275,0.187,0.212,Africa
Zambia,3.759,0.537,0.896,0.364,0.491,0.251,0.087,Africa
Haiti,3.721,0.285,0.647,0.374,0.169,0.464,0.162,
Lesotho,3.653,0.455,1.089,0.101,0.409,0.103,0.05,Africa
India,3.573,0.731,0.644,0.541,0.581,0.237,0.106,Asia
Malawi,3.538,0.177,0.53,0.446,0.487,0.213,0.132,Africa
Yemen,3.527,0.393,1.177,0.415,0.244,0.095,0.087,Asia
Botswana,3.479,0.998,1.086,0.494,0.509,0.033,0.102,Africa
Tanzania,3.476,0.457,0.873,0.443,0.509,0.272,0.204,Africa
Central African Republic,3.476,0.041,0.0,0.0,0.293,0.254,0.028,Africa
Rwanda,3.312,0.343,0.523,0.572,0.604,0.236,0.486,Africa
Zimbabwe,3.299,0.426,1.048,0.375,0.377,0.151,0.081,Africa
South Sudan,2.817,0.289,0.553,0.209,0.066,0.21,0.111,Africa
Afghanistan,2.567,0.301,0.356,0.266,0.0,0.135,0.001,Asia
